year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.678
2001,1082,197,885,81.793
2002,1012,161,851,84.091
2003,1088,187,901,82.813
2004,1087,190,897,82.521
2005,1038,166,872,84.008
2006,1069,166,903,84.471
2007,1058,133,925,87.429
2008,1061,135,926,87.276
2009,1094,139,955,87.294
2010,1050,117,933,88.857
2011,1057,105,952,90.066
2012,1059,100,959,90.557
2013,1042,86,956,91.747
2014,1014,80,934,92.110
2015,1011,68,943,93.274
2016,1076,61,1015,94.331
2017,1043,46,997,95.590
2018,1090,41,1049,96.239
2019,1038,41,997,96.050
2020,967,19,948,98.035
